EmployeeId,RequestId,Skills,MandotaroySkilss,AvlDate,RequestStartDate,AllocationEndDate,PreviousCustomerExperiance,CustomerName,DomainExperiance,ProjectDomain,ProjectKey,NAGP,Rating,IsKeyProject,IsKeyPosition,cost1,cost2,score
112,534,java-expert+java-intermediate+java-beginner+oracle-expert+oracle-intermediate+oracle-beginner,java-expert+oracle-expert,12/2/2016 12:00:00 AM,7/3/2016 12:00:00 AM,12/1/2016 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a+,True,True,850,850,1.5
457,515,java-expert+java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,landmark,customer analytics,ecommerce,,rci,False,b+,False,False,930,930,0.7
759,2009,java-expert+java-intermediate+java-beginner,java-beginner,12/2/2017 12:00:00 AM,5/1/2016 12:00:00 AM,1/1/2017 12:00:00 AM,erste,ifs bank,bfsi,bfsi,onb,True,a,True,False,880,880,1.2
592,583,java-expert+java-intermediate+java-beginner,java-beginner,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,False,870,870,1.3
561,582,java-expert+java-intermediate+java-beginner,java-beginner,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,False,870,870,1.3
150,2521,java-expert+java-intermediate+java-beginner,java-intermediate,2/2/2017 12:00:00 AM,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,,customer analytics,,,rci,False,b+,False,False,900,900,1
634,2584,java-expert+java-intermediate+java-beginner,java-beginner,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,False,870,870,1.3
531,2579,java-expert+java-intermediate+java-beginner,java-beginner,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,,aviation,flm,False,b+,True,False,900,900,1
424,752,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,925,925,0.75
812,21,java-expert+java-intermediate+java-beginner,java-beginner,12/2/2017 12:00:00 AM,7/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,erste,ifs bank,bfsi,bfsi,onb,True,a,True,False,870,870,1.3
202,2814,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,netent,customer analytics,gaming,,oan,True,a+,False,False,905,905,0.95
155,2751,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,900,900,1
715,2535,java-expert+java-intermediate+java-beginner,java-expert,4/2/2018 12:00:00 AM,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,lufthansa,lufthansa,aviation,aviation,flm,True,a,True,True,815,815,1.85
229,2274,java-expert+java-intermediate+java-beginner,java-intermediate,12/2/2017 12:00:00 AM,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,netent,nagarro,gaming,gaming,mre,True,a,True,False,895,895,1.05
153,2808,java-expert+java-intermediate+java-beginner,java-intermediate,3/4/2017 12:00:00 AM,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,,customer analytics,,,oan,False,b+,False,False,900,900,1
