457,java-expert+java-intermediate+java-beginner,12/2/2017 12:00:00 AM,landmark,android-expert,ecommerce,bfsi,ifs bank,7,onb,online banking,5/1/2016 12:00:00 AM,1/1/2017 12:00:00 AM,0,1000,1000
759,java-expert+java-intermediate+java-beginner,2/2/2017 12:00:00 AM,erste,ios-intermediate,bfsi,aviation,aviation solutions,38,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,3,1000,1000
592,java-expert+java-intermediate+java-beginner,4/2/2018 12:00:00 AM,lufthansa,ios-intermediate,aviation,aviation,aviation solutions,39,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,4,1000,1000
561,java-expert+java-intermediate+java-beginner,4/2/2018 12:00:00 AM,lufthansa,java-intermediate+ mongodb-intermediate,aviation,aviation,aviation solutions,91,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,5,1000,1000
150,java-expert+java-intermediate+java-beginner,4/2/2018 12:00:00 AM,,java-intermediate+ mongodb-intermediate,,aviation,aviation solutions,92,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,6,1000,1000
634,java-expert+java-intermediate+java-beginner,4/2/2018 12:00:00 AM,lufthansa,java-intermediate+ mongodb-intermediate,aviation,aviation,aviation solutions,93,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,7,1000,1000
531,java-expert+java-intermediate+java-beginner,2/2/2017 12:00:00 AM,lufthansa,java-intermediate+ mongodb-intermediate,,aviation,aviation solutions,94,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,8,1000,1000
424,java-expert+java-intermediate+java-beginner,3/4/2017 12:00:00 AM,,android-intermediate,,aviation,aviation solutions,98,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,9,1000,1000
812,java-expert+java-intermediate+java-beginner,3/4/2017 12:00:00 AM,erste,android-intermediate,bfsi,aviation,aviation solutions,99,fci,mobility solutions for fast check in,6/1/2016 12:00:00 AM,9/30/2016 12:00:00 AM,10,1000,1000
202,java-expert+java-intermediate+java-beginner,10/2/2016 12:00:00 AM,netent,.net-expert+ azure-expert,gaming,industrial automation,ge,102,inf,informatics,7/1/2016 12:00:00 AM,3/1/2017 12:00:00 AM,11,1000,1000
155,java-expert+java-intermediate+java-beginner,2/2/2017 12:00:00 AM,,ios-intermediate,,gaming,nagarro,277,rmc,rmc,6/1/2016 12:00:00 AM,12/1/2016 12:00:00 AM,12,1000,1000
