112,java-expert+ oracle-expert+java-intermediate+java-beginner+ oracle-intermediate+ oracle-beginner,3/31/2015 12:00:00 AM,java-expert+ oracle-expert,468,FDP,Front desk payment resolution,12/15/2016 12:00:00 AM,7/31/2017 12:00:00 AM,533,850,872
457,java-expert+java-intermediate+java-beginner,4/29/2016 12:00:00 AM,.net-intermediate+ sharepoint-intermediate,330,WMS,WMS,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,999,1000,1000
759,java-expert+java-intermediate+java-beginner,4/30/2016 12:00:00 AM,java-intermediate,500,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,499,880,892
592,java-expert+java-intermediate+java-beginner,5/15/2016 12:00:00 AM,java-beginner+ mongodb-beginner,722,SNE,S98,1/1/2017 12:00:00 AM,7/15/2017 12:00:00 AM,996,1000,1000
561,java-expert+java-intermediate+java-beginner,5/16/2016 12:00:00 AM,java-beginner+ mongodb-beginner,720,SNE,S98,1/1/2017 12:00:00 AM,7/15/2017 12:00:00 AM,995,1000,1000
150,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-beginner+ mongodb-beginner,716,SNE,S98,1/1/2017 12:00:00 AM,7/15/2017 12:00:00 AM,994,1000,1000
634,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-intermediate+ sharepoint-intermediate,329,WMS,WMS,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,925,1000,1000
531,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-intermediate+ sharepoint-intermediate,328,WMS,WMS,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,924,1000,1000
424,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-intermediate+ sharepoint-intermediate,1000,UID,UI re-design,1/1/2017 12:00:00 AM,4/1/2017 12:00:00 AM,923,1000,1000
812,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,501,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,500,890,902
202,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-intermediate+ sharepoint-intermediate,327,WMS,WMS,1/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,922,1000,1000
155,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-beginner+ wpf-beginner,908,AUT,Automation,10/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,907,1000,1000
715,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-beginner+ wpf-beginner,907,AUT,Automation,10/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,906,1000,1000
229,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-beginner+ wpf-beginner,906,AUT,Automation,10/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,905,1000,1000
153,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,.net-expert+ wpf-expert,864,AUT,Automation,9/1/2016 12:00:00 AM,11/30/2016 12:00:00 AM,863,1000,1000
255,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,853,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,852,1000,1000
710,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,852,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,851,1000,1000
454,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-expert,756,ERD,eReader,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,497,800,814
152,java-expert+java-intermediate+java-beginner,7/18/2016 12:00:00 AM,java-expert,748,OAN,Online analytics,7/22/2016 12:00:00 AM,12/31/2016 12:00:00 AM,496,850,860
834,java-expert+java-intermediate+java-beginner,7/22/2016 12:00:00 AM,java-intermediate,516,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,515,890,902
445,java-expert+java-intermediate+java-beginner,8/1/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,851,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,850,1000,1000
506,java-expert+java-intermediate+java-beginner,8/13/2016 12:00:00 AM,java-expert,69,MRE,Mobile re-design,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,747,800,828
760,java-expert+java-intermediate+java-beginner,9/1/2016 12:00:00 AM,java-intermediate,808,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,807,880,894
258,java-expert+java-intermediate+java-beginner,9/25/2016 12:00:00 AM,java-expert,749,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,534,850,864
783,java-expert+java-intermediate+java-beginner,9/30/2016 12:00:00 AM,java-intermediate,521,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,520,870,882
242,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,850,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,849,1000,1000
142,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,849,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,848,1000,1000
233,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,848,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,847,1000,1000
803,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-expert,268,MRE,Mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,755,800,828
825,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-expert,179,FCI,Mobility solutions for fast check in,1/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,748,800,818
1133,java-intermediate+java-beginner,8/21/2016 12:00:00 AM,.net-beginner+ sharepoint-beginner,847,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,846,1000,1000
2001,java-intermediate+java-beginner,10/1/2016 12:00:00 AM,java-intermediate,522,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,521,855,867
1970,java-intermediate+java-beginner,9/30/2016 12:00:00 AM,.net-beginner+ wpf-beginner,846,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,845,1000,1000
1156,java-intermediate+java-beginner,10/1/2016 12:00:00 AM,.net-intermediate+ sharepoint-beginner,835,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,833,1000,1000
1881,java-intermediate+java-beginner,9/21/2016 12:00:00 AM,java-intermediate,751,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,750,880,894
1636,java-intermediate+java-beginner,9/12/2016 12:00:00 AM,.net-intermediate+ sharepoint-beginner,834,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,832,1000,1000
1247,java-intermediate+java-beginner,11/11/2016 12:00:00 AM,.net-intermediate+ wpf-intermediate,823,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,822,1000,1000
1913,java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-intermediate,505,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,504,880,892
1796,java-intermediate+java-beginner,1/15/2016 12:00:00 AM,.net-intermediate+ wpf-intermediate,821,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,820,1000,1000
1276,java-intermediate+java-beginner,4/15/2016 12:00:00 AM,.net-intermediate+ wpf-intermediate,819,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,818,1000,1000
1823,java-intermediate+java-beginner,5/20/2016 12:00:00 AM,java-intermediate,515,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,514,880,892
1030,java-intermediate+java-beginner,6/6/2016 12:00:00 AM,.net-intermediate+ wpf-intermediate,796,EPF,EFPR,8/1/2016 12:00:00 AM,1/1/2019 12:00:00 AM,795,1000,1000
