112,java-expert+ oracle-expert+java-intermediate+java-beginner+ oracle-intermediate+ oracle-beginner,3/31/2015 12:00:00 AM,java-expert+ oracle-expert,28,ONB,Online banking,7/1/2016 12:00:00 AM,6/1/2017 12:00:00 AM,27,0,800
457,java-expert+java-intermediate+java-beginner,4/29/2016 12:00:00 AM,java-expert,275,RMC,RMC,6/1/2016 12:00:00 AM,12/1/2016 12:00:00 AM,102,0,800
759,java-expert+java-intermediate+java-beginner,4/30/2016 12:00:00 AM,java-intermediate,752,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,751,0,890
592,java-expert+java-intermediate+java-beginner,5/15/2016 12:00:00 AM,java-expert,260,MRE,Mobile re-design,6/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,68,0,800
561,java-expert+java-intermediate+java-beginner,5/16/2016 12:00:00 AM,java-expert,179,FCI,Mobility solutions for fast check in,1/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,748,0,800
150,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,203,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,202,0,870
634,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,204,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,203,0,870
531,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,205,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,204,0,870
424,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,273,MRE,Mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,272,0,870
812,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-intermediate,516,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,515,0,890
202,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-expert,497,RCI,Real-time check in,7/1/2016 12:00:00 AM,10/1/2016 12:00:00 AM,178,0,850
155,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-expert,498,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,259,0,850
715,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-expert,535,FLM,Flight maintenace,7/3/2016 12:00:00 AM,4/1/2018 12:00:00 AM,267,0,800
229,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-expert,103,FCI,Mobility solutions for fast check in,7/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,274,0,800
153,java-expert+java-intermediate+java-beginner,6/28/2016 12:00:00 AM,java-expert,748,OAN,Online analytics,7/22/2016 12:00:00 AM,12/31/2016 12:00:00 AM,496,0,850
255,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-expert,756,ERD,eReader,8/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,497,0,800
710,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-intermediate,499,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,498,0,850
454,java-expert+java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-intermediate,514,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,513,0,850
152,java-expert+java-intermediate+java-beginner,7/18/2016 12:00:00 AM,java-expert,749,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,534,0,850
834,java-expert+java-intermediate+java-beginner,7/22/2016 12:00:00 AM,java-intermediate,751,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,750,0,880
445,java-expert+java-intermediate+java-beginner,8/1/2016 12:00:00 AM,.net-beginner+ wpf-beginner,599,MFR,Multi-facility reporting,1/1/2016 12:00:00 AM,2/10/2018 12:00:00 AM,598,0,1000
506,java-expert+java-intermediate+java-beginner,8/13/2016 12:00:00 AM,java-expert,69,MRE,Mobile re-design,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,747,0,800
760,java-expert+java-intermediate+java-beginner,9/1/2016 12:00:00 AM,java-intermediate,809,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,808,0,890
258,java-expert+java-intermediate+java-beginner,9/25/2016 12:00:00 AM,java-intermediate,750,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,749,0,850
783,java-expert+java-intermediate+java-beginner,9/30/2016 12:00:00 AM,java-intermediate,515,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,514,0,870
242,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-expert,268,MRE,Mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,755,0,800
142,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-intermediate,207,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,206,0,870
233,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-intermediate,208,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,207,0,870
803,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-intermediate,272,MRE,Mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,271,0,870
825,java-expert+java-intermediate+java-beginner,12/31/2016 12:00:00 AM,java-beginner,85,ONB,Online banking,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,752,0,870
1133,java-intermediate+java-beginner,8/21/2016 12:00:00 AM,java-intermediate,263,MRE,Mobile re-design,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,262,0,870
2001,java-intermediate+java-beginner,10/1/2016 12:00:00 AM,java-intermediate,522,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,521,0,855
1970,java-intermediate+java-beginner,9/30/2016 12:00:00 AM,java-intermediate,264,MRE,Mobile re-design,12/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,263,0,870
1156,java-intermediate+java-beginner,10/1/2016 12:00:00 AM,java-intermediate,274,MRE,Mobile re-design,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,273,0,870
1881,java-intermediate+java-beginner,9/21/2016 12:00:00 AM,java-intermediate,814,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,813,0,880
1636,java-intermediate+java-beginner,9/12/2016 12:00:00 AM,java-beginner,79,ONB,Online banking,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,585,0,870
1247,java-intermediate+java-beginner,11/11/2016 12:00:00 AM,java-beginner,80,ONB,Online banking,3/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,686,0,870
1913,java-intermediate+java-beginner,6/30/2016 12:00:00 AM,java-intermediate,808,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,807,0,880
1796,java-intermediate+java-beginner,1/15/2016 12:00:00 AM,java-intermediate,178,FCI,Mobility solutions for fast check in,1/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,177,0,800
1276,java-intermediate+java-beginner,4/15/2016 12:00:00 AM,java-beginner,66,MRE,Mobile re-design,6/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,17,0,870
1823,java-intermediate+java-beginner,5/20/2016 12:00:00 AM,java-intermediate,521,RCI,Real-time check in,11/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,520,0,880
1030,java-intermediate+java-beginner,6/6/2016 12:00:00 AM,java-intermediate,206,FCI,Mobility solutions for fast check in,3/1/2017 12:00:00 AM,6/1/2017 12:00:00 AM,205,0,870
1118,java-intermediate+java-beginner,6/1/2016 12:00:00 AM,java-beginner,46,FCI,Mobility solutions for fast check in,6/20/2016 12:00:00 AM,9/15/2016 12:00:00 AM,44,0,870
2131,java-intermediate+java-beginner,5/20/2016 12:00:00 AM,java-intermediate,815,OAN,Online analytics,9/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,814,0,855
967,java-intermediate+java-beginner,5/20/2016 12:00:00 AM,java-beginner,68,MRE,Mobile re-design,6/1/2016 12:00:00 AM,12/1/2017 12:00:00 AM,19,0,870
1827,java-intermediate+java-beginner,4/22/2016 12:00:00 AM,java-beginner,47,FCI,Mobility solutions for fast check in,6/20/2016 12:00:00 AM,9/15/2016 12:00:00 AM,45,0,870
1825,java-intermediate+java-beginner,5/20/2016 12:00:00 AM,java-intermediate,500,RCI,Real-time check in,7/1/2016 12:00:00 AM,2/1/2017 12:00:00 AM,499,0,850
